ROI_label;x18_Networks_name;x18_Networks_index;x9_Networks_name;x9_Networks_index;hemisphere;x;y;z;R;G;B;R7;G7;B7
VisCent_ExStr_1;VisCent;1;Vis;1;LH;-27.6992439100379;-55.6534139679105;-35.9051366547009;0.47059;0.070588;0.52549;74;0;129
VisCent_ExStr_2;VisCent;1;Vis;1;LH;-26.2334474919802;-77.9360454910521;-29.8341635401171;0.47059;0.070588;0.53333;75;20;129
VisCent_Striate_1;VisCent;1;Vis;1;LH;-4.03408801898132;-73.2002112432081;-22.4662684980962;0.47059;0.070588;0.53725;76;20;129
VisCent_ExStr_3;VisCent;1;Vis;1;LH;-24.8872265976792;-76.0063850628686;-9.60477120616288;0.47059;0.070588;0.54118;77;20;129
VisCent_ExStr_4;VisCent;1;Vis;1;LH;-41.6637591207640;-64.2097252108739;-5.49791003044875;0.47059;0.070588;0.5451;78;20;129
VisCent_ExStr_5;VisCent;1;Vis;1;LH;-24.9389780972434;-67.8397383272316;3.97892848273430;0.47059;0.070588;0.54902;79;20;129
VisPeri_ExStrInf_1;VisPeri;2;Vis;1;LH;-25.2874885611922;-34.4804076815515;-29.6311153279721;1;0.0039216;0.0039216;80;20;129
VisPeri_ExStrInf_2;VisPeri;2;Vis;1;LH;-10.8621204692070;-45.9328438662736;-24.5864095551773;1;0.0039216;0.0078431;81;20;129
VisPeri_ExStrInf_3;VisPeri;2;Vis;1;LH;-15.4577194321612;-29.0261551919573;-22.2326975818329;1;0.0039216;0.011765;82;20;129
VisPeri_StriCal_1;VisPeri;2;Vis;1;LH;-13.0229749120559;-52.1544713980311;-12.7171670717016;1;0.0039216;0.015686;83;20;129
VisPeri_ExStrSup_1;VisPeri;2;Vis;1;LH;-12.9178980892951;-54.3377930409552;2.63034505093934;1;0.0039216;0.019608;84;20;129
VisPeri_ExStrSup_2;VisPeri;2;Vis;1;LH;-8.35270534155369;-67.9460229143230;10.0056290077466;1;0.0039216;0.023529;85;20;129
SomMotA_1;SomMotA;3;SomMot;2;LH;-7.54355109537815;10.9198168842438;26.1842469812537;0.27451;0.5098;0.69804;70;130;174
SomMotA_2;SomMotA;3;SomMot;2;LH;-48.6411686363187;-10.8179446201495;34.8697785214821;0.27451;0.5098;0.70196;70;130;175
SomMotA_3;SomMotA;3;SomMot;2;LH;-39.8150442180080;-6.22192683098676;37.2903780685497;0.27451;0.5098;0.7098;70;130;176
SomMotA_4;SomMotA;3;SomMot;2;LH;-33.2925164527691;-2.73793123396980;41.0149145880765;0.27451;0.5098;0.71373;70;130;177
SomMotA_5;SomMotA;3;SomMot;2;LH;-25.4069618564037;-18.9472536768058;45.4635145393792;0.27451;0.5098;0.71765;70;130;178
SomMotA_6;SomMotA;3;SomMot;2;LH;-23.3254345413685;8.30310435376170;46.7257018575875;0.27451;0.5098;0.72157;70;130;179
SomMotA_7;SomMotA;3;SomMot;2;LH;-6.72159849516481;-10.2025417062572;44.8092704119833;0.27451;0.5098;0.72549;70;130;181
SomMotA_8;SomMotA;3;SomMot;2;LH;-21.0641373852773;-11.6715250251393;46.2154198297972;0.27451;0.5098;0.72941;70;130;182
SomMotB_Aud_1;SomMotB;4;SomMot;2;LH;-51.0623008781390;13.0845722300028;-21.1732371021813;0.16863;0.8;0.63529;70;130;183
SomMotB_Aud_2;SomMotB;4;SomMot;2;LH;-53.8067349767846;-7.59539348856306;-9.84520797112243;0.16863;0.8;0.63922;70;130;184
SomMotB_S2_1;SomMotB;4;SomMot;2;LH;-37.1436691944342;-2.00276378736312;-4.80989440832089;0.16863;0.8;0.64706;70;130;185
SomMotB_S2_2;SomMotB;4;SomMot;2;LH;-55.1651055496396;14.1377340743738;-10.7464499351031;0.16863;0.8;0.65098;70;130;186
SomMotB_Aud_3;SomMotB;4;SomMot;2;LH;-57.1935489503649;-22.1628935285607;2.60104451539836;0.16863;0.8;0.6549;70;130;187
SomMotB_S2_3;SomMotB;4;SomMot;2;LH;-51.6060179915254;-4.23687967921865;-1.89885860660053;0.16863;0.8;0.65882;70;131;180
SomMotB_Cent_1;SomMotB;4;SomMot;2;LH;-58.4330077246424;10.8566435721342;7.26571874870795;0.16863;0.8;0.66275;70;131;181
SomMotB_Cent_2;SomMotB;4;SomMot;2;LH;-47.3657663017685;7.83271180949231;25.0725502265470;0.16863;0.8;0.66667;70;131;182
DorsAttnA_TempOcc_1;DorsAttnA;5;DorsAttn;3;LH;-43.1481258698655;-29.1924773189229;-39.1206022778842;0.2902;0.60784;0.23922;0;118;11
DorsAttnA_TempOcc_2;DorsAttnA;5;DorsAttn;3;LH;-45.4212391764982;-52.4407843935498;-26.3199177254935;0.2902;0.60784;0.24314;0;118;12
DorsAttnA_ParOcc_1;DorsAttnA;5;DorsAttn;3;LH;-48.6146849001229;-49.2185121712789;-5.32896220107639;0.2902;0.60784;0.24706;0;118;13
DorsAttnA_SPL_1;DorsAttnA;5;DorsAttn;3;LH;-26.1147809802849;-50.8035702100135;14.4870033131270;0.2902;0.61176;0.23922;0;118;15
DorsAttnA_SPL_2;DorsAttnA;5;DorsAttn;3;LH;-19.3775986913589;-53.2570121952011;33.1878817244966;0.2902;0.61176;0.24314;0;118;16
DorsAttnA_SPL_3;DorsAttnA;5;DorsAttn;3;LH;-30.7632151625323;-38.3735485456941;36.8623507821057;0.2902;0.61176;0.24706;0;118;17
DorsAttnB_PostC_1;DorsAttnB;6;DorsAttn;3;LH;-55.4398999328200;-3.70783338695068;18.9424341704727;0;0.46275;0.062745;0;118;18
DorsAttnB_PostC_2;DorsAttnB;6;DorsAttn;3;LH;-39.1040391380963;-14.9970725758554;21.1118380107796;0;0.46275;0.066667;0;118;19
DorsAttnB_PostC_3;DorsAttnB;6;DorsAttn;3;LH;-31.4019267895782;-25.9441327293398;39.9487401580109;0;0.46275;0.070588;0;118;20
DorsAttnB_PostC_4;DorsAttnB;6;DorsAttn;3;LH;-18.7560251228674;-33.6416882412746;48.1210591390804;0;0.46275;0.07451;0;118;21
DorsAttnB_FEF_1;DorsAttnB;6;DorsAttn;3;LH;-33.6476784856113;14.1516773211534;30.8005989383562;0;0.46667;0.058824;0;118;22
SalVentAttnA_ParOper_1;SalVentAttnA;7;SalVentAttn;4;LH;-61.9413588844896;-6.74830433981677;5.32643923452950;0.76863;0.22745;0.98431;196;58;251
SalVentAttnA_Ins_1;SalVentAttnA;7;SalVentAttn;4;LH;-39.7268547133392;16.4163713108606;-23.6344615826919;0.76863;0.23137;0.98431;196;58;252
SalVentAttnA_FrOper_1;SalVentAttnA;7;SalVentAttn;4;LH;-38.8315617262001;19.4012014459664;-8.97456139630519;0.76863;0.23137;0.98824;196;58;253
SalVentAttnA_FrOper_2;SalVentAttnA;7;SalVentAttn;4;LH;-51.5209136914699;29.8209716853199;-12.4929059707070;0.76863;0.23137;0.99216;196;59;251
SalVentAttnA_ParMed_1;SalVentAttnA;7;SalVentAttn;4;LH;-11.8049643023882;-15.5247977271749;25.7844412957319;0.76863;0.23137;0.99608;196;59;252
SalVentAttnA_FrMed_1;SalVentAttnA;7;SalVentAttn;4;LH;-6.58266324607290;30.7564268865534;21.1394931137508;0.77255;0.22745;0.98431;196;59;253
SalVentAttnA_FrMed_2;SalVentAttnA;7;SalVentAttn;4;LH;-6.78550403494583;18.9749248653728;44.9649785033432;0.77255;0.22745;0.98824;196;59;254
SalVentAttnB_IPL_1;SalVentAttnB;8;SalVentAttn;4;LH;-61.2984159158989;-16.8241143800582;19.1256756695815;1;0.59608;0.83922;196;59;255
SalVentAttnB_PFCl_1;SalVentAttnB;8;SalVentAttn;4;LH;-29.8759736024398;60.6584018492433;10.3622986572340;1;0.6;0.83922;197;58;251
SalVentAttnB_Ins_1;SalVentAttnB;8;SalVentAttn;4;LH;-33.6292447560717;39.6345987699230;-14.8645505639509;1;0.6;0.84314;197;58;252
SalVentAttnB_PFCmp_1;SalVentAttnB;8;SalVentAttn;4;LH;-6.65800829453704;48.5387813630704;4.42397075373744;1;0.59216;0.83922;197;58;253
LimbicB_OFC_1;LimbicB;9;Limbic;5;LH;-24.6979016216641;41.9448610775573;-39.8348694066340;0.47843;0.52941;0.2;220;248;165
LimbicB_OFC_2;LimbicB;9;Limbic;5;LH;-10.2300521746710;54.6720127690795;-41.0153293121686;0.47843;0.52941;0.20392;220;248;166
LimbicA_TempPole_1;LimbicA;10;Limbic;5;LH;-31.4851973186846;13.8760609903990;-60.1566667406800;0.86275;0.97255;0.64706;220;248;167
LimbicA_TempPole_2;LimbicA;10;Limbic;5;LH;-49.1769249964929;-2.47238304715769;-49.8099997032615;0.86275;0.97255;0.65098;220;248;168
LimbicA_TempPole_3;LimbicA;10;Limbic;5;LH;-27.7244646075645;28.8323973954760;-53.8470552864254;0.86275;0.97255;0.6549;220;248;169
LimbicA_TempPole_4;LimbicA;10;Limbic;5;LH;-43.3549641273567;23.3481320303832;-37.3883199649143;0.86275;0.97255;0.65882;220;248;170
ContA_Temp_1;ContA;11;Cont;6;LH;-57.1328156322574;-43.2380809976331;-18.2346336087690;0.90196;0.58039;0.13725;230;148;35
ContA_IPS_1;ContA;11;Cont;6;LH;-34.6347094022850;-41.0816796264430;24.6883971684872;0.90196;0.58039;0.14118;230;148;36
ContA_IPS_2;ContA;11;Cont;6;LH;-46.6043772615114;-20.5362948920008;27.1994119752766;0.90196;0.58039;0.1451;230;148;37
ContA_IPS_3;ContA;11;Cont;6;LH;-32.6230369606654;-27.9613165739401;21.7494369650535;0.90196;0.58039;0.14902;230;148;38
ContA_PFCd_1;ContA;11;Cont;6;LH;-23.7055633762851;23.6850466416756;38.4499522778461;0.90196;0.58431;0.13725;230;149;34
ContA_PFClv_1;ContA;11;Cont;6;LH;-42.7140580827925;61.7970633566431;-5.36931351145530;0.90196;0.58431;0.14118;230;149;36
ContA_PFCl_1;ContA;11;Cont;6;LH;-44.5290207601694;39.8023450835744;5.33817544443259;0.90196;0.58431;0.1451;230;149;37
ContA_PFCl_2;ContA;11;Cont;6;LH;-48.5901642507172;24.8377469467134;7.25967366146422;0.90196;0.58431;0.14902;230;149;38
ContA_PFCl_3;ContA;11;Cont;6;LH;-44.7772796271892;23.0134731423682;22.4147462200776;0.90196;0.58431;0.15294;230;149;39
ContA_Cingm_1;ContA;11;Cont;6;LH;-3.50977191184529;21.7894183061820;11.0354443639406;0.90588;0.58039;0.14118;230;149;40
ContB_Temp_1;ContB;12;Cont;6;LH;-60.6737347398776;-30.2259165946439;-31.8527053918923;0.52941;0.19608;0.29412;231;149;35
ContB_IPL_1;ContB;12;Cont;6;LH;-52.1412469455624;-30.6269954993635;28.0591605299710;0.52941;0.19608;0.29804;231;149;36
ContB_PFCl_1;ContB;12;Cont;6;LH;-42.0650387458927;36.9268160383014;27.9507974773826;0.52941;0.2;0.29804;231;149;37
ContB_PFClv_1;ContB;12;Cont;6;LH;-42.8661906454283;67.6568214582097;-24.8570635633013;0.53333;0.19608;0.29412;230;148;35
ContB_PFClv_2;ContB;12;Cont;6;LH;-28.1699546098800;75.5902646758764;-12.2826558788661;0.53333;0.19608;0.29804;230;148;36
ContC_pCun_1;ContC;13;Cont;6;LH;-11.2331328497826;-52.7740576858336;18.0279574150116;0.46667;0.54902;0.69412;230;148;37
ContC_pCun_2;ContC;13;Cont;6;LH;-7.14701034125214;-41.8110354949876;37.8120478727125;0.46667;0.54902;0.69804;230;148;38
ContC_Cingp_1;ContC;13;Cont;6;LH;-4.82299313695107;-8.76371506488005;7.57082636733617;0.46667;0.54902;0.70196;230;148;35
DefaultA_IPL_1;DefaultA;14;Default;7;LH;-43.2678455593014;-47.3813634080430;24.7163966414565;1;1;0.0039216;205;62;76
DefaultA_PFCd_1;DefaultA;14;Default;7;LH;-24.7953765068873;45.0969399839396;27.2458310734199;1;1;0.0078431;205;62;77
DefaultA_pCunPCC_1;DefaultA;14;Default;7;LH;-5.56037454112564;-36.7429940022615;7.39033300870239;1;0.99608;0.0039216;205;62;78
DefaultA_pCunPCC_2;DefaultA;14;Default;7;LH;-3.76430937562834;-7.84773754211001;18.0769560225773;1;0.99608;0.0078431;205;62;80
DefaultA_pCunPCC_3;DefaultA;14;Default;7;LH;-5.58118779667674;-37.2203251897594;22.9707523755835;1;0.99608;0.011765;205;62;81
DefaultA_PFCm_1;DefaultA;14;Default;7;LH;-6.61233519352882;55.0368967955929;-30.3975038825881;0.99608;1;0.0039216;205;62;82
DefaultA_PFCm_2;DefaultA;14;Default;7;LH;-14.7193063858853;82.1776505238316;-24.3882050042964;0.99608;1;0.0078431;205;62;83
DefaultA_PFCm_3;DefaultA;14;Default;7;LH;-7.12845947943502;62.9427707568383;-13.6497925012285;0.99608;1;0.011765;205;62;84
DefaultB_Temp_1;DefaultB;15;Default;7;LH;-47.2140691131820;27.5855074874686;-51.0438319518489;0.80392;0.24314;0.3098;205;62;85
DefaultB_Temp_2;DefaultB;15;Default;7;LH;-62.7660057944556;-4.82225273738497;-38.7628214511729;0.80392;0.24314;0.31373;205;63;73
DefaultB_Temp_3;DefaultB;15;Default;7;LH;-57.0187372410443;12.9681201208071;-31.7839689701537;0.80392;0.24314;0.31765;205;63;74
DefaultB_Temp_4;DefaultB;15;Default;7;LH;-58.0820725135368;-13.7738250080962;-22.4314292808455;0.80392;0.24314;0.32157;205;63;75
DefaultB_IPL_1;DefaultB;15;Default;7;LH;-59.3836634680450;-34.5023603372136;11.4964462662868;0.80392;0.24314;0.32549;205;63;76
DefaultB_PFCd_1;DefaultB;15;Default;7;LH;-9.91208277714958;77.5586850979612;-0.369398120877236;0.80392;0.24706;0.3098;205;63;77
DefaultB_PFCd_2;DefaultB;15;Default;7;LH;-12.5410897461801;67.1256756161235;22.5185122148789;0.80392;0.24706;0.31373;205;63;79
DefaultB_PFCd_3;DefaultB;15;Default;7;LH;-4.83732691045292;54.3001395537454;21.1204833502954;0.80392;0.24706;0.31765;205;63;80
DefaultB_PFCd_4;DefaultB;15;Default;7;LH;-10.8909082606469;39.7136769740943;41.2723898485600;0.80392;0.24706;0.32157;205;63;81
DefaultB_PFCv_1;DefaultB;15;Default;7;LH;-36.1441322753046;39.7634360527134;-32.3879275844063;0.80784;0.24314;0.3098;205;63;82
DefaultB_PFCv_2;DefaultB;15;Default;7;LH;-33.3618931569871;61.3533326209545;-33.9028933281156;0.80784;0.24314;0.31373;205;63;83
DefaultB_PFCv_3;DefaultB;15;Default;7;LH;-47.0301455000692;53.0005082801128;-26.1417428538300;0.80784;0.24314;0.31765;205;63;84
DefaultB_PFCv_4;DefaultB;15;Default;7;LH;-52.7510653773601;42.7849559911394;-12.1975268897352;0.80784;0.24314;0.32157;205;63;85
DefaultC_IPL_1;DefaultC;16;Default;7;LH;-36.8693689223395;-59.7553252791869;14.7212342763432;0;0;0.51373;205;64;78
DefaultC_Rsp_1;DefaultC;16;Default;7;LH;-12.5763747351915;-38.2694317071088;-7.24481879395415;0;0;0.51765;205;63;86
DefaultC_PHC_1;DefaultC;16;Default;7;LH;-26.4290328186675;-14.0099340403864;-37.6453814949188;0;0.0039216;0.51373;205;64;79
TempPar_1;TempPar;17;TempPar;8;LH;-57.9394901710620;-24.9219465972346;-11.7032452000172;0.035294;0.16078;0.98039;9;41;250
TempPar_2;TempPar;17;TempPar;8;LH;-50.6807115826826;-40.5890115557621;2.82484490810255;0.035294;0.16078;0.98431;9;41;251
VisCent_ExStr_1;VisCent;1;Vis;1;RH;28.4416483228151;-46.7555000171061;-32.8174862497403;0.48627;0.07451;0.52549;74;0;129
VisCent_ExStr_2;VisCent;1;Vis;1;RH;47.6289012216449;-51.3901368927004;-18.0518179468555;0.48627;0.07451;0.53333;75;20;129
VisCent_Striate_1;VisCent;1;Vis;1;RH;8.97400847175274;-70.7753747432685;-24.9448438290032;0.48627;0.07451;0.53725;76;20;129
VisCent_ExStr_3;VisCent;1;Vis;1;RH;31.5406571912154;-72.7194722915244;-23.4028815645169;0.48627;0.07451;0.54118;77;20;129
VisCent_ExStr_4;VisCent;1;Vis;1;RH;42.7238527317604;-59.8552312702527;-4.64673175740407;0.48627;0.07451;0.5451;78;20;129
